# SPDX-FileCopyrightText: Copyright (c) 2026 NVIDIA CORPORATION & AFFILIATES. All rights reserved.
# SPDX-License-Identifier: Apache-2.0
combo,n_prompts,lpips_low5,lpips_mean7,lpips_top2,gen_sec_mean
BF16_s0_t065_d086,7,0.097667,0.140930,0.249086,487.611
BF16_s0_t065_d090,7,0.115462,0.163053,0.282031,482.657
BF16_s0_t065_d094,7,0.148364,0.184719,0.275605,476.356
BF16_s0_t065_d097,7,0.193726,0.238278,0.349657,478.777
BF16_s0_t065_d100,7,0.356051,0.443043,0.660524,470.304
BF16_s0_t070_d086,7,0.101596,0.146362,0.258277,481.178
BF16_s0_t070_d090,7,0.123354,0.164747,0.268230,476.657
BF16_s0_t070_d094,7,0.154065,0.196726,0.303377,477.149
BF16_s0_t070_d097,7,0.210567,0.252676,0.357946,465.217
BF16_s0_t070_d100,7,0.392432,0.467293,0.654448,458.487
BF16_s0_t075_d000,7,0.067289,0.118139,0.245264,525.011
BF16_s0_t075_d086,7,0.118922,0.170124,0.298128,473.854
BF16_s0_t075_d090,7,0.131288,0.178109,0.295161,477.016
BF16_s0_t075_d094,7,0.169496,0.205644,0.296013,467.641
BF16_s0_t075_d097,7,0.234031,0.271422,0.364900,457.345
BF16_s0_t075_d100,7,0.415011,0.484391,0.657842,445.499
BF16_s1_t065_d086,7,0.208053,0.258128,0.383315,461.473
BF16_s1_t065_d090,7,0.210670,0.261267,0.387762,453.484
BF16_s1_t065_d094,7,0.222397,0.270265,0.389934,452.996
BF16_s1_t065_d097,7,0.227516,0.277699,0.403157,443.825
BF16_s1_t065_d100,7,0.350683,0.436405,0.650710,445.579
BF16_s1_t070_d086,7,0.212280,0.261709,0.385282,452.323
BF16_s1_t070_d090,7,0.215773,0.265341,0.389261,450.970
BF16_s1_t070_d094,7,0.224364,0.273117,0.395002,441.870
BF16_s1_t070_d097,7,0.242899,0.290570,0.409749,444.382
BF16_s1_t070_d100,7,0.393998,0.468905,0.656172,435.024
BF16_s1_t075_d000,7,0.204761,0.256227,0.384891,486.160
BF16_s1_t075_d086,7,0.218955,0.268093,0.390938,450.048
BF16_s1_t075_d090,7,0.223255,0.272220,0.394633,440.060
BF16_s1_t075_d094,7,0.234916,0.283026,0.403302,442.219
BF16_s1_t075_d097,7,0.252969,0.300414,0.419029,433.361
BF16_s1_t075_d100,7,0.417745,0.488339,0.664824,429.921
FP8_BLOCK_s0_t065_d086,7,0.350737,0.422811,0.602997,440.632
FP8_BLOCK_s0_t065_d090,7,0.347776,0.420640,0.602798,441.009
FP8_BLOCK_s0_t065_d094,7,0.346364,0.415668,0.588928,440.656
FP8_BLOCK_s0_t065_d097,7,0.353618,0.423697,0.598896,425.814
FP8_BLOCK_s0_t065_d100,7,0.390493,0.458816,0.629624,427.531
FP8_BLOCK_s0_t070_d086,7,0.348831,0.421577,0.603443,438.130
FP8_BLOCK_s0_t070_d090,7,0.348893,0.417739,0.589853,435.645
FP8_BLOCK_s0_t070_d094,7,0.346527,0.418825,0.599570,423.936
FP8_BLOCK_s0_t070_d097,7,0.354586,0.420844,0.586488,425.127
FP8_BLOCK_s0_t070_d100,7,0.395074,0.463955,0.636158,418.576
FP8_BLOCK_s0_t075_d000,7,0.351479,0.424911,0.608493,489.204
FP8_BLOCK_s0_t075_d086,7,0.352489,0.423689,0.601690,429.472
FP8_BLOCK_s0_t075_d090,7,0.349515,0.418335,0.590384,429.248
FP8_BLOCK_s0_t075_d094,7,0.349061,0.420661,0.599661,426.022
FP8_BLOCK_s0_t075_d097,7,0.357384,0.428463,0.606160,411.246
FP8_BLOCK_s0_t075_d100,7,0.421012,0.483452,0.639552,410.900
FP8_BLOCK_s1_t065_d086,7,0.327362,0.393964,0.560470,418.025
FP8_BLOCK_s1_t065_d090,7,0.325382,0.390431,0.553054,417.809
FP8_BLOCK_s1_t065_d094,7,0.331550,0.396601,0.559229,411.390
FP8_BLOCK_s1_t065_d097,7,0.331365,0.395410,0.555523,406.222
FP8_BLOCK_s1_t065_d100,7,0.376780,0.446775,0.621764,403.892
FP8_BLOCK_s1_t070_d086,7,0.326522,0.393388,0.560551,417.273
FP8_BLOCK_s1_t070_d090,7,0.326544,0.391276,0.553105,410.021
FP8_BLOCK_s1_t070_d094,7,0.330075,0.394482,0.555500,405.606
FP8_BLOCK_s1_t070_d097,7,0.335395,0.397870,0.554056,399.991
FP8_BLOCK_s1_t070_d100,7,0.390635,0.457005,0.622929,400.105
FP8_BLOCK_s1_t075_d000,7,0.331132,0.397062,0.561889,449.296
FP8_BLOCK_s1_t075_d086,7,0.331841,0.396103,0.556759,409.270
FP8_BLOCK_s1_t075_d090,7,0.331530,0.396521,0.559001,404.298
FP8_BLOCK_s1_t075_d094,7,0.330798,0.394660,0.554313,397.560
FP8_BLOCK_s1_t075_d097,7,0.341683,0.402262,0.553711,396.015
FP8_BLOCK_s1_t075_d100,7,0.406268,0.469716,0.628337,389.305
NVFP4_s0_t065_d086,7,0.443862,0.509149,0.672366,428.151
NVFP4_s0_t065_d090,7,0.440055,0.506121,0.671287,420.007
NVFP4_s0_t065_d094,7,0.439568,0.506294,0.673106,421.767
NVFP4_s0_t065_d097,7,0.448924,0.511707,0.668662,412.501
NVFP4_s0_t065_d100,7,0.462177,0.520059,0.664764,406.621
NVFP4_s0_t070_d086,7,0.444232,0.509795,0.673701,419.706
NVFP4_s0_t070_d090,7,0.439656,0.503392,0.662733,419.599
NVFP4_s0_t070_d094,7,0.439072,0.505304,0.670885,409.527
NVFP4_s0_t070_d097,7,0.446712,0.506625,0.656410,402.454
NVFP4_s0_t070_d100,7,0.466682,0.522503,0.662055,396.017
NVFP4_s0_t075_d000,7,0.436985,0.504199,0.672233,471.556
NVFP4_s0_t075_d086,7,0.444167,0.507056,0.664279,416.042
NVFP4_s0_t075_d090,7,0.445288,0.507848,0.664250,407.578
NVFP4_s0_t075_d094,7,0.443351,0.506064,0.662846,403.707
