# SPDX-FileCopyrightText: Copyright (c) 2026 NVIDIA CORPORATION & AFFILIATES. All rights reserved.
# SPDX-License-Identifier: Apache-2.0
# Generated by to_blog28_csv.py from this sweep's metrics CSV.
combo,n_prompts,lpips_mean7,gen_sec_mean
BF16_s0_t065_d086,7,0.075466,382.567
BF16_s0_t065_d090,7,0.100102,374.432
BF16_s0_t065_d094,7,0.170054,382.636
BF16_s0_t065_d097,7,0.245240,363.560
BF16_s0_t065_d100,7,0.449274,361.945
BF16_s0_t070_d086,7,0.091108,376.808
BF16_s0_t070_d090,7,0.119014,374.582
BF16_s0_t070_d094,7,0.190991,357.322
BF16_s0_t070_d097,7,0.264268,362.277
BF16_s0_t070_d100,7,0.462867,351.884
BF16_s0_t075_d000,7,0.000000,412.613
BF16_s0_t075_d086,7,0.110521,375.732
BF16_s0_t075_d090,7,0.139347,361.309
BF16_s0_t075_d094,7,0.225078,363.514
BF16_s0_t075_d097,7,0.312775,349.531
BF16_s0_t075_d100,7,0.494781,345.589
BF16_s1_t065_d086,7,0.299241,352.870
BF16_s1_t065_d090,7,0.301232,348.389
BF16_s1_t065_d094,7,0.307505,344.707
BF16_s1_t065_d097,7,0.322499,345.254
BF16_s1_t065_d100,7,0.449662,335.912
BF16_s1_t070_d086,7,0.304235,345.531
BF16_s1_t070_d090,7,0.308522,346.253
BF16_s1_t070_d094,7,0.315276,333.246
BF16_s1_t070_d097,7,0.335591,332.820
BF16_s1_t070_d100,7,0.467490,326.926
BF16_s1_t075_d000,7,0.290729,378.156
BF16_s1_t075_d086,7,0.310652,346.585
BF16_s1_t075_d090,7,0.316588,336.593
BF16_s1_t075_d094,7,0.327414,332.987
BF16_s1_t075_d097,7,0.356321,324.729
BF16_s1_t075_d100,7,0.488350,320.377
FP8_STATIC_s0_t065_d086,7,0.257670,348.446
FP8_STATIC_s0_t065_d090,7,0.260224,340.059
FP8_STATIC_s0_t065_d094,7,0.257990,341.475
FP8_STATIC_s0_t065_d097,7,0.290508,332.751
FP8_STATIC_s0_t065_d100,7,0.453067,326.620
FP8_STATIC_s0_t070_d086,7,0.262269,344.505
FP8_STATIC_s0_t070_d090,7,0.269236,339.513
FP8_STATIC_s0_t070_d094,7,0.277765,332.745
FP8_STATIC_s0_t070_d097,7,0.298106,332.051
FP8_STATIC_s0_t070_d100,7,0.473854,320.601
FP8_STATIC_s0_t075_d000,7,0.251576,386.046
FP8_STATIC_s0_t075_d086,7,0.270234,343.290
FP8_STATIC_s0_t075_d090,7,0.263677,333.085
FP8_STATIC_s0_t075_d094,7,0.293089,326.723
FP8_STATIC_s0_t075_d097,7,0.330812,320.220
FP8_STATIC_s0_t075_d100,7,0.493751,314.761
FP8_STATIC_s1_t065_d086,7,0.312274,312.392
FP8_STATIC_s1_t065_d090,7,0.313060,310.631
FP8_STATIC_s1_t065_d094,7,0.318352,301.743
